job_titles,Creation date,employer,location,Job_Type
Data Engineer - Schwerpunkt Microsoft (m/w/d) (Data Engineer),04/05/2023,DPD DEUTSCHLAND GMBH VZ,"Germany : Aschaffenburg, Kreisfreie Stadt",Full-time
(Jr./Senior) Data Engineer [m/w/d] (Data Engineer),08/03/2023,paiqo GmbH,Germany : Paderborn,Full-time
Data Engineer / Data Lake Developer / IT Data Specialist (m/w/d) (Data Engineer),19/05/2023,Alfred Kärcher SE & Co. KG,Germany : Rems-Murr-Kreis,Full-time
Projektleiter:in Data Engineering (Data Engineer),15/05/2023,Deutsche Bahn AG,"Germany : Frankfurt am Main, Kreisfreie Stadt , Berlin , Hamburg , München, Kreisfreie Stadt",Full-time
Data Engineer/Analyst im Chief Data Office (m/w/d) (Data Engineer),23/05/2023,Allianz Deutschland AG,"Germany : München, Kreisfreie Stadt",Full-time
Data Engineer Process Mining (Inhouse) (m/w/d) (Data Engineer),30/05/2023,SIEGENIA GRUPPE Verwaltungs-GmbH,Germany : Siegen-Wittgenstein,Full-time
Senior Data Engineer - Machine Learning (m/f/d) (Data Engineer),19/05/2023,Ratepay GmbH,Germany : Berlin,Full-time
Data Engineer (m/w/d) mit mehrjähriger Erfahrung (Data Engineer),05/05/2023,INIT Individ. Softwareentwickl ung und Beratungs GmbH,"Germany : Stuttgart, Stadtkreis",Full-time
Junior Data Engineer - Schwerpunkt Microsoft (m/w/d) (Data Engineer),04/05/2023,DPD DEUTSCHLAND GMBH VZ,"Germany : Aschaffenburg, Kreisfreie Stadt",Full-time
Data Engineer m/w/d mit PowerBI Kenntnissen (Data Engineer),27/04/2023,blanc&blanc CONSULTING oHG,Germany : Hamburg,"Part-time,"
Data Process Manager (Data Engineer),03/05/2023,c2g-engineering GmbH,Germany : Berlin,"Part-time,"
Data Analyst (mIwId) (Data Engineer),30/04/2023,LeySelect GmbH,Germany : Baden-Württemberg,Full-time
Werkstudent:in Data Engineer für Sensordatenanalyse Digitale Schiene Deutschland (Data Engineer),30/05/2023,Deutsche Bahn AG,Germany : Berlin,Full-time
Data/DevOps Engineer (m/w/d) (Data Engineer),30/05/2023,Deutsche Bahn AG,"Germany : Erfurt, Kreisfreie Stadt , Region Hannover , Berlin , Hamburg , Köln, Kreisfreie Stadt , Nürnberg, Kreisfreie Stadt , München, Kreisfreie Stadt , Frankfurt am Main, Kreisfreie Stadt , Dresden, Kreisfreie Stadt , Duisburg, Kreisfreie Stadt",Full-time
Data Warehouse Engineer (m/d/w) (Data Engineer),24/05/2023,enercity AG,Germany : Region Hannover,Full-time
Data Platform Engineer (m/w/d) (Data Engineer),10/05/2023,E.ON Energie Deutschland GmbH,"Germany : München, Kreisfreie Stadt",Full-time
AWS Cloud Data Engineer:in (Data Engineer),18/05/2023,Deutsche Bahn AG,"Germany : Frankfurt am Main, Kreisfreie Stadt",Full-time
AWS Cloud Data Engineer:in (Data Engineer),17/05/2023,Deutsche Bahn AG,"Germany : Frankfurt am Main, Kreisfreie Stadt",Full-time
Data Engineer:in Betrieb Fernverkehr (Data Engineer),15/05/2023,Deutsche Bahn AG,"Germany : Frankfurt am Main, Kreisfreie Stadt",Full-time
Senior DevOps/Data Engineer:in (Data Engineer),15/05/2023,Deutsche Bahn AG,"Germany : Frankfurt am Main, Kreisfreie Stadt",Full-time
(Senior) Data Engineer für AI Projekte (m/d/w) (Data Engineer),30/05/2023,Deutsche Bahn AG,"Germany : Köln, Kreisfreie Stadt , Berlin , Hamburg , Nürnberg, Kreisfreie Stadt , Frankfurt am Main, Kreisfreie Stadt , Region Hannover , Erfurt, Kreisfreie Stadt , Dresden, Kreisfreie Stadt , Duisburg, Kreisfreie Stadt , München, Kreisfreie Stadt",Full-time
Data Engineer Onboarding & Technical Customer Success (m/w/d) (Data Engineer),10/05/2023,PlanerAI GmbH,"Germany : Würzburg, Kreisfreie Stadt","Flexible,"
Data Lead (all genders) (Data Engineer),09/05/2023,RECUP,"Germany : München, Kreisfreie Stadt",Full-time
Data-Engineer im Global Engineering (m/w/d) zur Direktvermittlung (Data Engineer),23/05/2023,FERCHAU GmbH Niederlassung Regensburg,Germany : Cham,Full-time
Senior Data Platform Engineer (m/f/d) (Data Engineer),19/05/2023,Mabanaft GmbH & Co. KG,Germany : Hamburg,Full-time
Senior Data Engineer Azure Synapse in Mainz m/w/d (Data Engineer),09/05/2023,VP Verbund Pflegehilfe GmbH,"Germany : Mainz, Kreisfreie Stadt",Full-time
"Data Engineer (m/w/d) für Dortmund, Hannover oder remote (Data Engineer)",19/05/2023,QuinScape,"Germany : Dortmund, Kreisfreie Stadt",Full-time
Data Engineer:in - DB Smart Logistic (Data Engineer),15/05/2023,Deutsche Bahn AG,"Germany : Berlin , Erfurt, Kreisfreie Stadt , Frankfurt am Main, Kreisfreie Stadt",Full-time
Data Engineer:in - DB Smart Logistic (Data Engineer),15/05/2023,Deutsche Bahn AG,"Germany : Erfurt, Kreisfreie Stadt , Berlin , Frankfurt am Main, Kreisfreie Stadt",Full-time
Senior Data Engineer for Mercedes-Benz SoftwareFactory (all genders) - Berlin (Data Engineer),10/05/2023,MBition GmbH,Germany : Berlin,Full-time
Data Engineer (m/w/d) (Data Scientist),30/05/2023,Hays AG,Germany : Berlin,Full-time
Data Engineer (m/w/d) (Data Scientist),29/05/2023,Hays Professional Solutions GmbH Standort Stuttgart,Germany : Baden-Württemberg,Full-time
Data Consultant (m/w/d) (Data Engineer),15/05/2023,taod Consulting GmbH',"Germany : Köln, Kreisfreie Stadt",Full-time
Engineer Data und Analytics Ticketautomaten (w/m/d) (Data Engineer),24/05/2023,Deutsche Bahn AG,"Germany : Frankfurt am Main, Kreisfreie Stadt",Full-time
Operation Engineer Data Analytics Platform (d/m/w) (Data Engineer),23/05/2023,Toll Collect GmbH,Germany : Berlin,Full-time
Projektleiter Data Engineering (m/d/w) (Data Engineer),27/05/2023,Deutsche Bahn AG,"Germany : Berlin , München, Kreisfreie Stadt , Hamburg , Frankfurt am Main, Kreisfreie Stadt",Full-time
Senior Data Engineer:in (w/m/d) (Data Engineer),15/05/2023,Deutsche Bahn AG,"Germany : Mainz, Kreisfreie Stadt",Full-time
(Senior) Data Engineer:in für AI Projekte (Data Engineer),30/05/2023,Deutsche Bahn AG,Germany,Full-time
DATA ENGINEER BIG DATA/FAST DATA (M/W/D) (Data Scientist),16/05/2023,jambit GmbH,"Germany : Leipzig, Kreisfreie Stadt","Part-time,"
Quality Data Analyst (m|w|d) (Data Engineer),26/05/2023,Miltenyi Biotec B.V. & Co. KG,Germany : Rheinisch-Bergischer Kreis,Full-time
Mitarbeiter Data Quality (m/w/d) (Data Engineer),24/05/2023,FATH GmbH,Germany : Roth,Full-time
Data Warehouse Analyst (m/w/d) (Data Engineer),24/05/2023,Networking Personalkonzepte GmbH,Germany : Region Hannover,Full-time
Trainee Data Consultant (m/w/d) (Data Engineer),22/05/2023,taod Consulting GmbH',"Germany : Köln, Kreisfreie Stadt",Full-time
Data Integrity Manager (m/w/d) (Data Engineer),15/05/2023,Biotest AG,"Germany : Offenbach, Landkreis",Full-time
Azure Data Platform Engineer - Energy Markets (d/f/m) (Data Engineer),17/05/2023,E.ON Energy Markets GmbH,"Germany : Essen, Kreisfreie Stadt",Full-time
(Senior) Data Scientist / Data Engineer (m/w/d) (Data Scientist),26/05/2023,FERCHAU GmbH Niederlassung Stuttgart Automotive,"Germany : Stuttgart, Stadtkreis",Full-time
Data Architect Master Data Management (m/w/d) (Data Engineer),12/05/2023,Fressnapf Holding SE,"Germany : Krefeld, Kreisfreie Stadt",Full-time
Data Engineering Experte (m/w/d) Produktion (Data Engineer),30/05/2023,FERCHAU GmbH Niederlassung Nürnberg City,"Germany : Nürnberg, Kreisfreie Stadt",Full-time
Junior Business Engineer (m/d/w) (Data Engineer),24/05/2023,Deutsche Bahn AG,"Germany : Frankfurt am Main, Kreisfreie Stadt , Berlin , Erfurt, Kreisfreie Stadt",Full-time
System Engineer Netzwerk (m/w/d) (Data Engineer),22/05/2023,SIGNAL IDUNA Krankenversicheru ng a. G.,Germany : Hamburg,Full-time
Data Engineer Data Analytics und Intelligence (w/m/d) (Data Scientist),30/05/2023,Deutsche Bahn AG,"Germany : Frankfurt am Main, Kreisfreie Stadt",Full-time
Azure Data Factory & Spark Data Engineer (w|m|d) (Data Scientist),10/05/2023,BridgingIT GmbH,"Germany : Frankfurt am Main, Kreisfreie Stadt , Köln, Kreisfreie Stadt , Stuttgart, Stadtkreis , Schwerin, Kreisfreie Stadt , München, Kreisfreie Stadt , Mannheim, Stadtkreis , Hamburg , Berlin , Nürnberg, Kreisfreie Stadt",Full-time
"Berater Business Intelligence (m/w/d) – (Data Engineer, Data (Data Scientist)",05/05/2023,initions GmbH,Germany : Hamburg,Full-time
Senior Data Engineer Azure (w/m/d) (Data Scientist),28/05/2023,Deutsche Bahn AG,"Germany : Frankfurt am Main, Kreisfreie Stadt",Full-time
Global Master Data Manager (m/f/d) (Data Engineer),19/05/2023,Birkenstock Product GmbH,"Germany : Köln, Kreisfreie Stadt",Full-time
Data Engineer Power Platform (w/m/d) (Data Scientist),16/05/2023,Deutsche Bahn AG,"Germany : Frankfurt am Main, Kreisfreie Stadt",Full-time
Master Data Manager (m/w/d) S1918687 (Data Engineer),20/04/2023,PAV Herzog,Germany : Bautzen,Full-time
Specialist Business Intelligence / Data Engineering (m/w/d) (Data Engineer),11/05/2023,HARIBO GmbH & Co. KG,"Germany : Bonn, Kreisfreie Stadt , Köln, Kreisfreie Stadt , Koblenz, Kreisfreie Stadt , Ahrweiler",Full-time
Teamlead Delivery - Schwerpunkt Data Engineering (m/w/d) (Data Engineer),10/05/2023,Alexander Thamm GmbH,"Germany : München, Kreisfreie Stadt",Full-time
Planer (m/w/d) Qualitätsmanagementsysteme Schwerpunkt Data Engineering (Data Engineer),03/05/2023,RLE Engineering & Services GmbH,"Germany : Leipzig, Kreisfreie Stadt",Full-time
Data Engineer / Data Analyst (Fachinformatiker/in - Daten- und Prozessanalyse),17/05/2023,Brunel GmbH,"Germany : Duisburg, Kreisfreie Stadt",Full-time
Data Engineer (g*) (Fachinformatiker/in - Anwendungsentwicklung),17/05/2023,ARI-Armaturen Alb. Richter GmbH & Co.KG,Germany : Gütersloh,Full-time
Data Engineer / Data Warehouse Entwickler (m/w/d) (Softwareentwickler/in),23/05/2023,REWE digital,"Germany : Köln, Kreisfreie Stadt",Full-time
Data Architect/ Data Engineer (m/w/d) (Wirtschaftsinformatiker/in (Hochschule)),15/12/2022,Liebherr-Verzahntechnik GmbH,"Germany : Kempten (Allgäu), Kreisfreie Stadt",Full-time
Junior Business Engineer Azure (m/d/w) (Data Engineer),27/05/2023,Deutsche Bahn AG,"Germany : Frankfurt am Main, Kreisfreie Stadt , Erfurt, Kreisfreie Stadt , Berlin",Full-time
Business Intelligence Engineer (m/w/d) (RN_U_221R207J) (Data Engineer),03/05/2023,b+p Beratung Personal Unternehmensberater,Germany : Regionalverband Saarbrücken,Full-time
Process & Data Manager / MTM/Fertigungssteuerung (m/w/d) (Data Engineer),30/05/2023,Birkenstock Productions Hessen GmbH,Germany : Main-Kinzig-Kreis,Full-time
Consultant (m/w/d) Data & Analytics / SAC (Remote) (Data Engineer),26/05/2023,Windhoff Software Service GmbH,Germany : Borken,Full-time
Ingenieur Digitalisierung / Operations Data Architect (m/w/d) (Data Engineer),04/05/2023,Hexagon Purus GmbH,"Germany : Kassel, Kreisfreie Stadt",Full-time
Data Engineer (m/w/d) (Systeminformatiker/in),15/05/2023,DIS AG FB Office & Management,"Germany : Leipzig, Kreisfreie Stadt",Full-time
Data Engineer (m/w/d) (Ingenieurinformatiker/in),15/05/2023,FERCHAU GmbH Niederlassung Potsdam,"Germany : Potsdam, Kreisfreie Stadt",Full-time
Data Engineer (m/f/d) (Ingenieurinformatiker/in),23/12/2022,Kühne + Nagel (AG & Co.) KG,Germany : Hamburg,Full-time
Mitarbeiter Prozesstechnik (m/w/d) (Data Engineer),24/05/2023,DELTEC Automotive GmbH & Co. KG,Germany : Cham,Full-time
Value Architect (m/w/d) (Data Engineer),12/05/2023,Fressnapf Holding SE,"Germany : Krefeld, Kreisfreie Stadt",Full-time
Data Engineer (m/w/d) (Software-Architect),06/04/2023,Mühlbauer Group,Germany : Cham,Full-time
IT-Data Engineer (gn) (Wirtschaftsinformatiker/in (Hochschule)),15/05/2023,Westfalen Weser Netz GmbH,"Germany : Paderborn , Herford",Full-time
IT-Specialist Data Engineering and Business Intelligence (m/w/d) (Data Engineer),26/05/2023,Südzucker AG,"Germany : Mannheim, Stadtkreis",Full-time
